"","tipo","ano","mes","total"
"261","roupa","2015","Mar",68
"262","roupa","2015","Apr",132
"263","roupa","2015","May",128.67
"264","roupa","2015","Jun",128.67
"265","roupa","2015","Jul",88.67
"266","roupa","2015","Aug",104
"267","roupa","2015","Sep",104
"268","roupa","2015","Oct",104
"269","roupa","2015","Nov",196.89
"270","roupa","2015","Dec",96.99
"271","roupa","2016","Jan",44.99
"272","roupa","2016","Feb",232.7
"273","roupa","2016","May",129.8
"274","roupa","2016","Jun",209.7
"275","roupa","2016","Jul",83.06
"276","roupa","2016","Oct",97.6
"277","roupa","2016","Nov",184.25
"278","saúde","2015","Jan",423
"279","saúde","2015","Feb",236
"280","saúde","2015","Mar",228
"281","saúde","2015","Apr",367
"282","saúde","2015","May",365
"283","saúde","2015","Jun",348.5
"284","saúde","2015","Jul",445.5
"285","saúde","2015","Aug",435.5
"286","saúde","2015","Sep",379.5
"287","saúde","2015","Oct",272
"288","saúde","2015","Nov",302.78
"289","saúde","2015","Dec",368.01
"290","saúde","2016","Jan",295.65
"291","saúde","2016","Feb",608.08
"292","saúde","2016","Mar",459.59
"293","saúde","2016","Apr",481
"294","saúde","2016","May",332.31
"295","saúde","2016","Jun",475.95
"296","saúde","2016","Jul",365.89
"297","saúde","2016","Aug",375.28
"298","saúde","2016","Sep",428.21
"299","saúde","2016","Oct",278
"300","saúde","2016","Nov",512.85
"301","saúde","2016","Dec",278
"302","seguros","2015","Jan",590
"303","seguros","2015","Feb",330
"304","seguros","2015","Apr",240
"305","seguros","2015","May",240
"306","seguros","2015","Jun",240
"307","seguros","2015","Aug",260
"308","seguros","2015","Sep",260
"309","seguros","2015","Oct",260
"310","seguros","2015","Nov",260
"311","seguros","2015","Dec",260
"312","seguros","2016","Jan",260
"313","seguros","2016","Feb",260
"314","seguros","2016","Mar",260
"315","seguros","2016","Apr",260
"316","seguros","2016","May",260
"317","seguros","2016","Jun",260
"318","seguros","2016","Jul",260
"319","seguros","2016","Aug",260
"320","seguros","2016","Sep",260
"321","seguros","2016","Oct",279.9
"322","seguros","2016","Nov",392
"323","seguros","2016","Dec",392
"324","steam","2015","Jan",15
"325","steam","2015","Apr",32.5
"326","steam","2015","May",32.5
"327","steam","2015","Jun",27.5
"328","steam","2015","Jul",27.5
"329","steam","2016","Sep",14.99
"330","steam","2016","Oct",25
"331","steam","2016","Nov",12.5
"332","steam","2016","Dec",17.99
"333","telefonia","2015","Jan",229
"334","telefonia","2015","Feb",113
"335","telefonia","2015","Mar",49
"336","telefonia","2015","Apr",160
"337","telefonia","2015","May",172
"338","telefonia","2015","Jun",189
"339","telefonia","2015","Jul",202
"340","telefonia","2015","Aug",182
"341","telefonia","2015","Sep",122
"342","telefonia","2015","Oct",102
"343","telefonia","2015","Nov",172
"344","telefonia","2015","Dec",258.9
"345","telefonia","2016","Jan",199.9
"346","telefonia","2016","Feb",199.9
"347","telefonia","2016","Mar",199.9
"348","telefonia","2016","Apr",199.9
"349","telefonia","2016","May",180
"350","telefonia","2016","Jun",180
"351","telefonia","2016","Jul",100
"352","telefonia","2016","Aug",180
"353","telefonia","2016","Sep",180
"354","telefonia","2016","Oct",190
"355","telefonia","2016","Nov",180
"356","telefonia","2016","Dec",180
"357","terceiros","2015","Jan",152.5
"358","terceiros","2015","Feb",65
"359","terceiros","2016","Jan",15
"360","terceiros","2016","Nov",100
"361","transporte","2015","Jan",672
"362","transporte","2015","Feb",329
"363","transporte","2015","Apr",594
"364","transporte","2015","May",608
"365","transporte","2015","Jun",734
"366","transporte","2015","Jul",475
"367","transporte","2015","Aug",483
"368","transporte","2015","Sep",384
"369","transporte","2015","Oct",496
"370","transporte","2015","Nov",446.79
"371","transporte","2015","Dec",639.72
"372","transporte","2016","Jan",483.57
"373","transporte","2016","Feb",881.99
"374","transporte","2016","Mar",658.68
"375","transporte","2016","Apr",667.28
"376","transporte","2016","May",654.59
"377","transporte","2016","Jun",701.03
"378","transporte","2016","Jul",529.73
"379","transporte","2016","Aug",552.64
"380","transporte","2016","Sep",598.25
"381","transporte","2016","Oct",555.98
"382","transporte","2016","Nov",643.91
"383","transporte","2016","Dec",492.34
