"Status","Date","Description","Category","Account","Amount",""
"","27 March 2017","SAGRADO CORACAO","Alimentação","","$67.04",""
"","27 March 2017","CARREFOUR PSO 409","Transporte","","$125.91",""
"","27 March 2017","SACOLAO SAUDE ST","Alimentação","","$43.58",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$29.96",""
"","27 March 2017","BCO24H","Pagamentos","","$60.00",""
"","27 March 2017","HITAMAX","Alimentação","","$9.11",""
"","27 March 2017","AUTO POSTO MIRO","Transporte","","$50.00",""
"","27 March 2017","HITAMAX","Alimentação","","$12.10",""
"","27 March 2017","CAFE PRA TI","fast food","","$20.00",""
"","27 March 2017","HABIB S","fast food","","$18.26",""
"","27 March 2017","DROGARIA NOVA PER","Saúde","","$9.29",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$24.42",""
"","27 March 2017","COOP CAPUAVA","Saúde","","$147.44",""
"","27 March 2017","CARREFOUR PSO 409","Transporte","","$107.60",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$19.45",""
"","27 March 2017","PANIFICADORA PAO","Alimentação","","$14.29",""
"","27 March 2017","HITAMAX","Alimentação","","$5.36",""
"","27 March 2017","CARREFOUR STO 248","Alimentação","","$87.81",""
"","27 March 2017","SACOLAO SAUDE ST","Alimentação","","$62.64",""
"","27 March 2017","PET SHOP HATO","Alimentação","","$17.00",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$16.08",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$57.89",""
"","27 March 2017","COOP CAPUAVA","Saúde","","$19.70",""
"","27 March 2017","Churrasco Anderson","Lazer","","$53.50",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$40.28",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$46.09",""
"","27 March 2017","CARREFOUR PSO 409","Transporte","","$115.23",""
"","27 March 2017","COOP CAPUAVA","Saúde","","$19.70",""
"","27 March 2017","CARREFOUR STO 248","Alimentação","","$106.51",""
"","27 March 2017","SACOLAO SAUDE ST","Alimentação","","$102.46",""
"","27 March 2017","PIZZARIA BRASITAL","fast food","","$34.50",""
"","27 March 2017","KARTEX DESCARTAVE","Alimentação","","$5.10",""
"","27 March 2017","BOUTIQUE DO PAO","Alimentação","","$4.90",""
"","27 March 2017","Carregador USB","Equipamentos","","$39.00",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$22.90",""
"","27 March 2017","COOP CAPUAVA","presentes","","$13.00",""
"","27 March 2017","SACOLAO SAUDE ST","Alimentação","","$73.43",""
"","27 March 2017","PASTELARIA NAITO","fast food","","$9.00",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$12.87",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$37.60",""
"","27 March 2017","Cabelo","beleza","","$35.00",""
"","27 March 2017","Vivo","telefonia","","$100.00",""
"","27 March 2017","mafre","seguros","","$260.00",""
"","26 March 2017","HITAMAX","Alimentação","","$8.62",""
"","23 March 2017","PIC (16/21)","investimento","","$82.00",""
"","23 March 2017","Netflix","Lazer","","$23.00",""
"","23 March 2017","TIM Erick & Aline","telefonia","","$100.00",""
"","21 March 2017","luz","Moradia","","$120.00",""
"","20 March 2017","Faxina","Moradia","","$120.00",""
"","16 March 2017","vigia","Moradia","","$45.00",""
"","15 March 2017","seguro residencia","Moradia","","$177.00",""
"","15 March 2017","convênio","Saúde","","$315.00",""
"","12 March 2017","HITAMAX MINIMERCADO, RS 11,56 - 12/03/2017","Alimentação","","$11.56",""
"","08 March 2017","seguro fiesta","Corolla","","$132.00",""
"","07 March 2017","AUTO POST","Transporte","","$20.00",""
"","02 March 2017","PADARIA P","Alimentação","","$15.00",""
"","28 February 2017","conta água","Moradia","","$62.00",""
"","27 February 2017","Celular Ru  (3/10)","presentes","","$10.00",""
"","27 February 2017","Presente Jr  (2/3)","presentes","","$30.83",""
"","27 February 2017","DECATHLON (2/2)","Equipamentos","","$70.00",""
"","27 February 2017","FERRAGENS MARUKA (2/2)","Equipamentos","","$52.98",""
"","27 February 2017","HITAMAX","Alimentação","","$12.98",""
"","27 February 2017","AUTO POSTO IRMAOS BATI","Transporte","","$50.00",""
"","27 February 2017","OLHAOCHURROS","fast food","","$10.50",""
"","27 February 2017","EXTRA 1338","Alimentação","","$51.00",""
"","27 February 2017","COOP CAPUAVA","Alimentação","","$46.89",""
"","27 February 2017","CARREFOUR STO 248","Alimentação","","$100.00",""
"","27 February 2017","Manutenção festa","Corolla","","$45.90",""
"","27 February 2017","COOP CAPUAVA","Alimentação","","$42.61",""
"","27 February 2017","HITAMAX","Alimentação","","$15.15",""
"","27 February 2017","HITAMAX","Alimentação","","$25.69",""
